refYear,continent,flow,product,value_usd
2021,Asia,Export,Gaseous NG (271121),15241413480.68
2021,Asia,Export,LNG (271111),14759595226.86
2021,Asia,Import,Gaseous NG (271121),19730619817.142
2021,Asia,Import,LNG (271111),131190935699.821
2021,Europe,Export,Gaseous NG (271121),99905856534.684
2021,Europe,Export,LNG (271111),9385062544.197
2021,Europe,Import,Gaseous NG (271121),144587206252.007
2021,Europe,Import,LNG (271111),34233083492.038002
2021,Oceania,Export,Gaseous NG (271121),17421.895
2021,Oceania,Export,LNG (271111),37108978951.001
2021,Oceania,Import,LNG (271111),145488.888
2022,Africa,Export,Gaseous NG (271121),162446.30000000002
2022,Africa,Export,LNG (271111),20286223482.908
2022,Africa,Import,Gaseous NG (271121),238410097.43
2022,Africa,Import,LNG (271111),2344468837.291
2022,Americas,Export,Gaseous NG (271121),22566601226.081
2022,Americas,Export,LNG (271111),276700871.933
2022,Americas,Import,Gaseous NG (271121),22275337210.087
2022,Americas,Import,LNG (271111),8944866302.547
2022,Asia,Export,Gaseous NG (271121),26359313954.308
2022,Asia,Export,LNG (271111),27961638546.566
2022,Asia,Import,Gaseous NG (271121),27868848227.973
2022,Asia,Import,LNG (271111),204096737133.169
2022,Europe,Export,Gaseous NG (271121),245951285757.86
2022,Europe,Export,LNG (271111),5803770329.787
2022,Europe,Import,Gaseous NG (271121),301050002608.7
2022,Europe,Import,LNG (271111),146812332181.955
2022,Oceania,Export,Gaseous NG (271121),2515.8089999999997
2022,Oceania,Export,LNG (271111),62310017859.451004
2022,Oceania,Import,LNG (271111),123414.807
2023,Africa,Export,Gaseous NG (271121),62524.9
2023,Africa,Export,LNG (271111),11530999329.007
2023,Africa,Import,Gaseous NG (271121),598423028.813
2023,Africa,Import,LNG (271111),2811250375.507
2023,Americas,Export,Gaseous NG (271121),12497843875.068
2023,Americas,Export,LNG (271111),60646436.38599999
2023,Americas,Import,Gaseous NG (271121),12118389552.193
2023,Americas,Import,LNG (271111),4748896651.592
2023,Asia,Export,Gaseous NG (271121),23564684454.285
2023,Asia,Export,LNG (271111),31235216266.906998
2023,Asia,Import,Gaseous NG (271121),28141446503.729
2023,Asia,Import,LNG (271111),158719733324.6
2023,Europe,Export,Gaseous NG (271121),101098485837.213
2023,Europe,Export,LNG (271111),4705828724.965
2023,Europe,Import,Gaseous NG (271121),147862705148.449
2023,Europe,Import,LNG (271111),84304719374.276
2023,Oceania,Export,Gaseous NG (271121),42524.027
2023,Oceania,Export,LNG (271111),49580496832.261
2023,Oceania,Import,Gaseous NG (271121),4207.476
2023,Oceania,Import,LNG (271111),31525.439
2024,Africa,Export,Gaseous NG (271121),32237.559
2024,Africa,Export,LNG (271111),6068468236.948
2024,Africa,Import,Gaseous NG (271121),73189400.815
2024,Africa,Import,LNG (271111),5370994350.437
2024,Americas,Export,Gaseous NG (271121),8369075804.947
2024,Americas,Export,LNG (271111),1345741011.684
2024,Americas,Import,Gaseous NG (271121),8849546574.258
2024,Americas,Import,LNG (271111),4959250234.069
2024,Asia,Export,Gaseous NG (271121),17215860677.537
2024,Asia,Export,LNG (271111),22431880820.333
2024,Asia,Import,Gaseous NG (271121),29843223888.539
2024,Asia,Import,LNG (271111),147274257360.871
2024,Europe,Export,Gaseous NG (271121),76704234469.11
2024,Europe,Export,LNG (271111),3252850333.206
2024,Europe,Import,Gaseous NG (271121),100109525848.238
2024,Europe,Import,LNG (271111),47595000046.475
2024,Oceania,Export,Gaseous NG (271121),8903.032
2024,Oceania,Export,LNG (271111),44485063704.42
2024,Oceania,Import,Gaseous NG (271121),17667.708
2024,Oceania,Import,LNG (271111),41283.941999999995
