refYear,month,product,value_usd,annual_total_usd,share,regime
2016,11,Gaseous NG (271121),10158482301.89,99237569017.675,0.10236528768737466,Pre-COVID
2016,11,LNG (271111),6996318767.578,73511087377.91,0.09517365362330887,Pre-COVID
2016,12,Gaseous NG (271121),10814410723.939999,99237569017.675,0.10897496614426201,Pre-COVID
2016,12,LNG (271111),7571558757.227,73511087377.91,0.10299886761710784,Pre-COVID
2017,1,Gaseous NG (271121),11475603392.764,117050688672.60901,0.09803960594252703,Pre-COVID
2017,1,LNG (271111),8382617501.047,96024556519.93,0.08729660208643795,Pre-COVID
2017,2,Gaseous NG (271121),10832651780.017,117050688672.60901,0.09254667275231457,Pre-COVID
2017,2,LNG (271111),8069030894.28,96024556519.93,0.08403091028705001,Pre-COVID
2017,3,Gaseous NG (271121),9617627334.756,117050688672.60901,0.08216634557064864,Pre-COVID
2017,3,LNG (271111),8196799686.385,96024556519.93,0.0853614948451623,Pre-COVID
2017,4,Gaseous NG (271121),9048035861.036,117050688672.60901,0.07730015058983013,Pre-COVID
2017,4,LNG (271111),6898514398.667,96024556519.93,0.07184114822998643,Pre-COVID
2017,5,Gaseous NG (271121),8660665194.218,117050688672.60901,0.07399072395414859,Pre-COVID
2017,5,LNG (271111),7630907733.019,96024556519.93,0.07946829446106525,Pre-COVID
2017,6,Gaseous NG (271121),8125009316.272,117050688672.60901,0.06941445119556422,Pre-COVID
2017,6,LNG (271111),7970534251.575,96024556519.93,0.08300516597460887,Pre-COVID
2017,7,Gaseous NG (271121),8282917348.473001,117050688672.60901,0.07076350803573941,Pre-COVID
2017,7,LNG (271111),7822993295.114,96024556519.93,0.08146867404162736,Pre-COVID
2017,8,Gaseous NG (271121),8320915581.873,117050688672.60901,0.07108813861955667,Pre-COVID
2017,8,LNG (271111),8137293143.224,96024556519.93,0.08474179353835491,Pre-COVID
2017,9,Gaseous NG (271121),9002226968.812,117050688672.60901,0.07690879114766463,Pre-COVID
2017,9,LNG (271111),7302202265.471,96024556519.93,0.07604515480324474,Pre-COVID
2017,10,Gaseous NG (271121),9988064025.927,117050688672.60901,0.08533110004900213,Pre-COVID
2017,10,LNG (271111),7594976099.938,96024556519.93,0.079094102333726,Pre-COVID
2017,11,Gaseous NG (271121),10928150681.623001,117050688672.60901,0.09336254921309399,Pre-COVID
2017,11,LNG (271111),8218703491.405,96024556519.93,0.08558960113186463,Pre-COVID
2017,12,Gaseous NG (271121),12768821186.838,117050688672.60901,0.10908796292990992,Pre-COVID
2017,12,LNG (271111),9799983759.805,96024556519.93,0.1020570582668716,Pre-COVID
2018,1,Gaseous NG (271121),13789700387.569,144902333431.576,0.09516548188701601,Pre-COVID
2018,1,LNG (271111),10769691528.602,133403737748.104,0.08073005832068647,Pre-COVID
2018,2,Gaseous NG (271121),13277035927.427,144902333431.576,0.09162748185622918,Pre-COVID
2018,2,LNG (271111),10520323512.68,133403737748.104,0.07886078523935151,Pre-COVID
2018,3,Gaseous NG (271121),14836069230.989,144902333431.576,0.10238668266853486,Pre-COVID
2018,3,LNG (271111),10360497625.988,133403737748.104,0.07766272370532024,Pre-COVID
2018,4,Gaseous NG (271121),10428699458.027,144902333431.576,0.07197054188883378,Pre-COVID
2018,4,LNG (271111),8821491755.44,133403737748.104,0.0661262713050585,Pre-COVID
2018,5,Gaseous NG (271121),10283128858.322,144902333431.576,0.07096593004955144,Pre-COVID
2018,5,LNG (271111),9813666547.608,133403737748.104,0.07356365506143756,Pre-COVID
2018,6,Gaseous NG (271121),10035906921.724,144902333431.576,0.06925980199251267,Pre-COVID
2018,6,LNG (271111),10029203324.475,133403737748.104,0.07517932775925942,Pre-COVID
2018,7,Gaseous NG (271121),11129892971.916,144902333431.576,0.07680961864683582,Pre-COVID
2018,7,LNG (271111),10537105093.411,133403737748.104,0.07898658067068108,Pre-COVID
2018,8,Gaseous NG (271121),11073667537.044,144902333431.576,0.07642159566928626,Pre-COVID
2018,8,LNG (271111),11724374743.115,133403737748.104,0.08788640364225202,Pre-COVID
2018,9,Gaseous NG (271121),11713747524.852,144902333431.576,0.08083891575412981,Pre-COVID
2018,9,LNG (271111),11049036283.688,133403737748.104,0.08282403829307275,Pre-COVID
2018,10,Gaseous NG (271121),12213488932.299,144902333431.576,0.08428773121218441,Pre-COVID
2018,10,LNG (271111),12436087760.09,133403737748.104,0.09322143419678469,Pre-COVID
2018,11,Gaseous NG (271121),12676235257.546999,144902333431.576,0.08748123620474901,Pre-COVID
2018,11,LNG (271111),12999471203.362999,133403737748.104,0.0974445800604845,Pre-COVID
2018,12,Gaseous NG (271121),13444760423.86,144902333431.576,0.09278498217013684,Pre-COVID
2018,12,LNG (271111),14342788369.644,133403737748.104,0.10751414174561122,Pre-COVID
2019,1,Gaseous NG (271121),14451976053.259,123065189099.883,0.11743350137405137,Pre-COVID
2019,1,LNG (271111),14307099608.524,132310059702.436,0.10813312034398989,Pre-COVID
2019,2,Gaseous NG (271121),12910951768.982,123065189099.883,0.10491148523327037,Pre-COVID
2019,2,LNG (271111),11901380596.352,132310059702.436,0.08995068570838895,Pre-COVID
2019,3,Gaseous NG (271121),12051720664.612999,123065189099.883,0.0979295668642048,Pre-COVID
2019,3,LNG (271111),11574274152.708,132310059702.436,0.08747841380117602,Pre-COVID
2019,4,Gaseous NG (271121),10079601428.653,123065189099.883,0.0819045702718754,Pre-COVID
2019,4,LNG (271111),10774452658.246,132310059702.436,0.0814333595077928,Pre-COVID
2019,5,Gaseous NG (271121),10066981749.592,123065189099.883,0.08180202560304334,Pre-COVID
2019,5,LNG (271111),10406517255.336,132310059702.436,0.0786525021509336,Pre-COVID
2019,6,Gaseous NG (271121),9169935287.718,123065189099.883,0.07451282815870405,Pre-COVID
2019,6,LNG (271111),9692999487.07,132310059702.436,0.07325973179113862,Pre-COVID
2019,7,Gaseous NG (271121),9074823160.184,123065189099.883,0.07373996843915488,Pre-COVID
2019,7,LNG (271111),10725466219.132,132310059702.436,0.08106311979038831,Pre-COVID
2019,8,Gaseous NG (271121),8317717377.066,123065189099.883,0.06758789742170809,Pre-COVID
2019,8,LNG (271111),10627166137.348,132310059702.436,0.08032016734969653,Pre-COVID
2019,9,Gaseous NG (271121),8009806086.281,123065189099.883,0.06508587964529944,Pre-COVID
2019,9,LNG (271111),10113681575.327,132310059702.436,0.07643924882259572,Pre-COVID
2019,10,Gaseous NG (271121),8540927233.193,123065189099.883,0.06940165042334559,Pre-COVID
2019,10,LNG (271111),9618573700.678,132310059702.436,0.0726972213776494,Pre-COVID
2019,11,Gaseous NG (271121),9822924912.731,123065189099.883,0.07981887473279266,Pre-COVID
2019,11,LNG (271111),10775849928.457,132310059702.436,0.08144392008205407,Pre-COVID
2019,12,Gaseous NG (271121),10567823377.611,123065189099.883,0.08587175183255008,Pre-COVID
2019,12,LNG (271111),11792598383.258,132310059702.436,0.08912850927419604,Pre-COVID
2020,1,Gaseous NG (271121),9363384326.055,89813114469.45,0.10425408785083344,COVID
2020,1,LNG (271111),12441171608.734,100303225668.876,0.12403560828447496,COVID
2020,2,Gaseous NG (271121),8312590218.441,89813114469.45,0.0925543030942161,COVID
2020,2,LNG (271111),10261796263.457,100303225668.876,0.10230773930774219,COVID
2020,3,Gaseous NG (271121),8036126530.843,89813114469.45,0.08947609242051723,COVID
2020,3,LNG (271111),10201608583.653,100303225668.876,0.10170768203737389,COVID
2020,4,Gaseous NG (271121),6494902828.608,89813114469.45,0.07231575106792723,COVID
2020,4,LNG (271111),8612865473.138,100303225668.876,0.08586828006480118,COVID
2020,5,Gaseous NG (271121),5889806844.332,89813114469.45,0.06557847235478537,COVID
2020,5,LNG (271111),7770171920.989,100303225668.876,0.07746681992700935,COVID
2020,6,Gaseous NG (271121),5576428451.227,89813114469.45,0.062089244807603534,COVID
2020,6,LNG (271111),7465067723.133,100303225668.876,0.07442500152265197,COVID
2020,7,Gaseous NG (271121),6057181091.948999,89813114469.45,0.06744205595953756,COVID
2020,7,LNG (271111),6913268184.727,100303225668.876,0.06892368753472881,COVID
2020,8,Gaseous NG (271121),6398512239.024,89813114469.45,0.07124251593791972,COVID
2020,8,LNG (271111),6046038572.338,100303225668.876,0.06027760854169698,COVID
2020,9,Gaseous NG (271121),6822946381.221,89813114469.45,0.07596826389471029,COVID
2020,9,LNG (271111),6290767537.127,100303225668.876,0.06271749981295985,COVID
2020,10,Gaseous NG (271121),8106396945.577001,89813114469.45,0.09025849947932045,COVID
2020,10,LNG (271111),6690320133.765,100303225668.876,0.066700946945129,COVID
2020,11,Gaseous NG (271121),8859175958.36,89813114469.45,0.0986401152069329,COVID
2020,11,LNG (271111),7665567007.04,100303225668.876,0.07642393308811223,COVID
2020,12,Gaseous NG (271121),9895662653.813,89813114469.45,0.11018059792569622,COVID
2020,12,LNG (271111),9944582660.775,100303225668.876,0.09914519293331953,COVID
2021,1,Gaseous NG (271121),12557530048.286,192091750517.865,0.06537256292595511,COVID
2021,1,LNG (271111),11232223395.164,174834176568.672,0.0642450098465283,COVID
2021,2,Gaseous NG (271121),11495595838.034,192091750517.865,0.05984429735812566,COVID
2021,2,LNG (271111),12218510883.518,174834176568.672,0.06988628381087017,COVID
2021,3,Gaseous NG (271121),13518402713.428999,192091750517.865,0.07037471769081388,COVID
2021,3,LNG (271111),11086076606.036,174834176568.672,0.06340909325403875,COVID
2021,4,Gaseous NG (271121),10147776710.215,192091750517.865,0.05282775904148592,COVID
2021,4,LNG (271111),9830831543.219,174834176568.672,0.05622946117378607,COVID
2021,5,Gaseous NG (271121),10719778266.691,192091750517.865,0.0558055108446421,COVID
2021,5,LNG (271111),10495207760.367,174834176568.672,0.06002949747210698,COVID
2021,6,Gaseous NG (271121),10387048301.628,192091750517.865,0.0540733700100358,COVID
2021,6,LNG (271111),11704856419.354,174834176568.672,0.06694833155093406,COVID
2021,7,Gaseous NG (271121),12752094757.4,192091750517.865,0.06638543676665606,COVID
2021,7,LNG (271111),12234630712.195,174834176568.672,0.06997848448349249,COVID
2021,8,Gaseous NG (271121),14772706102.973999,192091750517.865,0.07690442751002002,COVID
2021,8,LNG (271111),13622703944.894001,174834176568.672,0.07791785457658061,COVID
2021,9,Gaseous NG (271121),16085465357.745,192091750517.865,0.0837384495397631,COVID
2021,9,LNG (271111),14850049630.35,174834176568.672,0.0849379104349037,COVID
2021,10,Gaseous NG (271121),23655509806.924,192091750517.865,0.12314693235472379,COVID
2021,10,LNG (271111),17121740355.875,174834176568.672,0.09793131235499519,COVID
2021,11,Gaseous NG (271121),24571248367.282,192091750517.865,0.12791412593742185,COVID
2021,11,LNG (271111),22835434830.488,174834176568.672,0.1306119620240189,COVID
2021,12,Gaseous NG (271121),31428594247.257,192091750517.865,0.16361241002035673,COVID
2021,12,LNG (271111),27601910487.212,174834176568.672,0.15787479901774482,COVID
2022,1,Gaseous NG (271121),31719743792.976,371889336519.165,0.08529350179778912,Crisis
2022,1,LNG (271111),32889150922.646,363423789662.08,0.09049806825587038,Crisis
